,k,Length,# of sequences (log 10),Sequence constraint,Sequence length
0,4,10,1.5631419252975927,unconstrained,10
1,4,10,1.5511013070814794,no 4G,10
2,4,10,1.5259698222574793,no 4N,10
3,4,11,1.505149978319906,unconstrained,11
4,4,11,1.4913616938342726,no 4G,11
5,4,11,1.462397997898956,no 4N,11
6,4,12,1.4539974558725246,unconstrained,12
7,4,12,1.4384544438203408,no 4G,12
8,4,12,1.4055929729005632,no 4N,12
9,4,13,1.4082399653118496,unconstrained,13
10,4,13,1.390935107103379,no 4G,13
11,4,13,1.354108439147401,no 4N,13
12,4,14,1.3668472801536244,unconstrained,14
13,4,14,1.3477733992063075,no 4G,14
14,4,14,1.3069121778899357,no 4N,14
15,4,15,1.3290587192642247,unconstrained,15
16,4,15,1.3082085802911045,no 4G,15
17,4,15,1.2632414347745813,no 4N,15
18,4,16,1.2942966130050129,unconstrained,16
19,4,16,1.2716629212914754,no 4G,16
20,4,16,1.2225163815416928,no 4N,16
21,4,17,1.2621119296336114,unconstrained,17
22,4,17,1.2376873303021931,no 4G,17
23,4,17,1.1842857376709528,no 4N,17
24,4,18,1.2321487062561682,unconstrained,18
25,4,18,1.2059257835191872,no 4G,18
26,4,18,1.1481911962420115,no 4N,18
27,4,19,1.2041199826559248,unconstrained,19
28,4,19,1.1760912590556813,no 4G,19
29,4,19,1.1139433523068367,no 4N,19
30,6,10,2.9133899436317554,unconstrained,10
31,6,10,2.887167020894774,no 4G,10
32,6,10,2.829432433617599,no 4N,10
33,6,11,2.8342086975841307,unconstrained,11
34,6,11,2.802545689328793,no 4G,11
35,6,11,2.731320101718905,no 4N,11
36,6,12,2.7672619079535177,unconstrained,12
37,6,12,2.7300898049134044,no 4G,12
38,6,12,2.6445792516494415,no 4N,12
39,6,13,2.709269960975831,unconstrained,13
40,6,13,2.6665179805548807,no 4G,13
41,6,13,2.5658478186735176,no 4N,13
42,6,14,2.6581174385284494,unconstrained,14
43,6,14,2.6097129555564877,no 4G,14
44,6,14,2.4929155219028942,no 4N,14
45,6,15,2.612359947967774,unconstrained,15
46,6,15,2.5582284218033258,no 4G,15
47,6,15,2.42422807069598,no 4N,15
48,6,16,2.5709672628095492,unconstrained,16
49,6,16,2.5110321605458603,no 4G,16
50,6,16,2.3586269499069337,no 4N,16
51,6,17,2.5331787019201495,unconstrained,17
52,6,17,2.467361417430506,no 4G,17
53,6,17,2.2952004520032574,no 4N,17
54,6,18,2.4984165956609377,unconstrained,18
55,6,18,2.4266363641976176,no 4G,18
56,6,18,2.233191430603183,no 4N,18
57,6,19,2.4662319122895364,unconstrained,19
58,6,19,2.3884057203268774,no 4G,19
59,6,19,2.1719352992845233,no 4N,19
60,8,10,4.339358675904037,unconstrained,10
61,8,10,4.313135753167056,no 4G,10
62,8,10,4.25540116588988,no 4N,10
63,8,11,4.214419939295737,unconstrained,11
64,8,11,4.179091976953994,no 4G,11
65,8,11,4.098436045340363,no 4N,11
66,8,12,4.11750992628768,unconstrained,12
67,8,12,4.072881940867975,no 4G,12
68,8,12,3.9669485358450154,no 4N,12
69,8,13,4.038328680240055,unconstrained,13
70,8,13,3.984197154075607,no 4G,13
71,8,13,3.850196802968261,no 4N,13
72,8,14,3.9713818906094422,unconstrained,14
73,8,14,3.9075341989827033,no 4G,14
74,8,14,3.742118872590762,no 4N,14
75,8,15,3.9133899436317554,unconstrained,15
76,8,15,3.839603729470837,no 4G,15
77,8,15,3.6386888866901237,no 4N,15
78,8,16,3.8622374211843744,unconstrained,16
79,8,16,3.7782799111702174,no 4G,16
80,8,16,3.5367828261889747,no 4N,16
81,8,17,3.816479930623699,unconstrained,17
82,8,17,3.722107185681003,no 4G,17
83,8,17,3.43354583057662,no 4N,17
84,8,18,3.7750872454654743,unconstrained,18
85,8,18,3.6700433375741133,no 4G,18
86,8,18,3.325888672474718,no 4N,18
87,8,19,3.737298684576074,unconstrained,19
88,8,19,3.621314790620701,no 4G,19
89,8,19,3.209872311545016,no 4N,19
